id,name,profile,company,job_title,twitter_id,github_id,conference_id
1409,加藤 理恵,Kubernetesマルチテナンシーの専門家。vClusterプロジェクトへの貢献とエンタープライズ環境での導入支援を手がける。,MultiTenantTech,Platform Engineer,r_kato,kato-r,15
1410,長谷川 健,Daprプロジェクトのコントリビューター。分散アプリケーションランタイムとマイクロサービスパターンの実装経験が豊富。,DistributedApps,Application Architect,k_hasegawa,hasegawa-k,15
1411,井上 裕太,Helmメンテナー。Kubernetesパッケージ管理のベストプラクティスと大規模チャートリポジトリの運用ノウハウを持つ。,ChartNative,DevOps Engineer,y_inoue,inoue-y,15
1412,西村 香織,OPAとRegoの専門家。ポリシーアズコードの設計とKubernetesアドミッションコントロールの導入支援を多数手がける。,PolicyTech,Security Architect,k_nishimura,nishimura-k,15
1413,森田 誠,分散ストレージシステムの専門家。RookとCephの運用経験が豊富で、大規模ストレージ基盤の設計を手がける。,StorageNative,Storage Engineer,m_morita,morita-m,15
1414,斎藤 洋平,ステートフルワークロードのKubernetes運用のエキスパート。データベースOperatorの開発と運用改善に貢献。,StatefulTech,Database Engineer,y_saito,saito-y,15
1415,松田 あゆみ,DevSecOpsの実践者。セキュリティテスト自動化ツールの開発とCI/CDパイプラインへの統合を専門とする。,DevSecOps Inc.,AppSec Engineer,a_matsuda,matsuda-a,15
1416,原田 剛志,Flaggerプロジェクトのコントリビューター。プログレッシブデリバリーとトラフィック管理の実装経験が豊富。,DeliveryTech,Software Engineer,t_harada,harada-t,15
1417,小林 雄大,gRPCエコシステムの専門家。高性能なマイクロサービス通信基盤の設計と、Protocol Buffersのスキーマ管理を手がける。,gRPCTech,Backend Engineer,y_kobayashi,kobayashi-y,15
1418,佐々木 遥,Kubebuilderを活用したオペレーター開発の専門家。複数のカスタムオペレーターを開発し、OSS公開している。,OperatorFactory,Software Engineer,h_sasaki,sasaki-h,15
1419,山本 太一,Apache Kafkaとイベントストリーミング基盤の専門家。Strimziを活用したKubernetes上のKafka運用に精通。,StreamNative,Data Engineer,t_yamamoto,yamamoto-t,15
1420,中島 由美,SPIFFE/SPIREプロジェクトのコントリビューター。ゼロトラストアーキテクチャの設計と実装を専門とする。,ZeroTrustTech,Security Engineer,y_nakajima,nakajima-y,15
1421,遠藤 公一,クラウドコスト最適化の専門家。OpenCostプロジェクトへの貢献とFinOpsプラクティスの導入支援を手がける。,CostOptimize,FinOps Engineer,k_endo,endo-k,15
1422,河合 智史,LitmusChaosプロジェクトのコントリビューター。カオスエンジニアリングの実践と信頼性テストのフレームワーク設計に注力。,ChaosTech,Reliability Engineer,s_kawai,kawai-s,15
1423,上田 恵子,コンテナランタイムの比較研究者。containerd・CRI-Oのベンチマーク分析とパフォーマンスチューニングに定評がある。,RuntimeLab,Performance Engineer,k_ueda,ueda-k,15
1424,高橋 翔平,Telepresenceを活用したKubernetes開発ワークフローの改善コンサルタント。開発者体験の向上に注力。,DevWorkflow Inc.,Developer Advocate,s_takahashi,takahashi-s,15
1425,伊藤 真理子,Veleroプロジェクトのコントリビューター。Kubernetesの災害復旧戦略とデータ保護の設計を専門とする。,BackupNative,Infrastructure Engineer,m_ito,ito-m,15
1426,坂本 龍一,Pixieプロジェクトの利用推進者。eBPFベースの自動オブザーバビリティとリアルタイムデバッグ手法の普及に貢献。,AutoObserve,Observability Engineer,r_sakamoto,sakamoto-r,15
1427,宮崎 哲也,cert-managerプロジェクトのメンテナー。PKI基盤の設計と証明書ライフサイクル管理の自動化に精通。,CertNative,Security Engineer,t_miyazaki,miyazaki-t,15
1428,内田 勇気,CloudNativePGプロジェクトのコントリビューター。Kubernetes上でのPostgreSQL運用とデータベースオペレーターの開発に注力。,DBOperator Inc.,Database Engineer,y_uchida,uchida-y,15
1429,小山 美穂,Argo Workflowsの導入コンサルタント。データパイプラインとMLワークフローのKubernetesネイティブな設計を手がける。,WorkflowTech,Data Platform Engineer,m_koyama,koyama-m,15
1430,菊地 正人,Kubernetesセキュリティ監査の専門家。CIS Benchmarkの実装とkube-bench・kubescapeの活用による継続的セキュリティ検証を推進。,AuditSec,Security Auditor,m_kikuchi,kikuchi-m,15
